Starting_Column,Variable_Name,Field_Length
1,_STATE,2
17,FMONTH,2
19,IDATE,8
19,IMONTH,2
21,IDAY,2
23,IYEAR,4
32,DISPCODE,4
36,SEQNO,10
36,_PSU,10
63,CTELENM1,1
64,PVTRESD1,1
65,COLGHOUS,1
66,STATERE1,1
67,CELPHON1,1
68,LADULT1,1
69,COLGSEX1,1
70,NUMADULT,2
72,LANDSEX1,1
73,NUMMEN,2
75,NUMWOMEN,2
77,RESPSLCT,1
78,SAFETIME,1
79,CTELNUM1,1
80,CELLFON5,1
81,CADULT1,1
82,CELLSEX1,1
83,PVTRESD3,1
84,CCLGHOUS,1
85,CSTATE1,1
88,LANDLINE,1
89,HHADULT,2
91,SEXVAR,1
101,GENHLTH,1
102,PHYSHLTH,2
104,MENTHLTH,2
106,POORHLTH,2
108,PRIMINSR,2
110,PERSDOC3,1
111,MEDCOST1,1
112,CHECKUP1,1
113,EXERANY2,1
114,SLEPTIM1,2
116,LASTDEN4,1
117,RMVTETH4,1
118,CVDINFR4,1
119,CVDCRHD4,1
120,CVDSTRK3,1
121,ASTHMA3,1
122,ASTHNOW,1
123,CHCSCNC1,1
124,CHCOCNC1,1
125,CHCCOPD3,1
126,ADDEPEV3,1
127,CHCKDNY2,1
128,HAVARTH4,1
129,DIABETE4,1
130,DIABAGE4,2
168,MARITAL,1
169,EDUCA,1
170,RENTHOM1,1
179,NUMHHOL4,1
180,NUMPHON4,1
181,CPDEMO1C,1
182,VETERAN3,1
183,EMPLOY1,1
184,CHILDREN,2
186,INCOME3,2
188,PREGNANT,1
189,WEIGHT2,4
193,HEIGHT3,4
197,DEAF,1
198,BLIND,1
199,DECIDE,1
200,DIFFWALK,1
201,DIFFDRES,1
202,DIFFALON,1
203,HADMAM,1
204,HOWLONG,1
205,CERVSCRN,1
206,CRVCLCNC,1
207,CRVCLPAP,1
208,CRVCLHPV,1
209,HADHYST2,1
210,HADSIGM4,1
211,COLNSIGM,1
212,COLNTES1,1
213,SIGMTES1,1
214,LASTSIG4,1
215,COLNCNCR,1
216,VIRCOLO1,1
217,VCLNTES2,1
218,SMALSTOL,1
219,STOLTEST,1
220,STOOLDN2,1
221,BLDSTFIT,1
222,SDNATES1,1
223,SMOKE100,1
224,SMOKDAY2,1
225,USENOW3,1
226,ECIGNOW2,1
227,LCSFIRST,3
230,LCSLAST,3
233,LCSNUMCG,3
236,LCSCTSC1,1
237,LCSSCNCR,1
238,LCSCTWHN,1
239,ALCDAY4,3
242,AVEDRNK3,2
244,DRNK3GE5,2
246,MAXDRNKS,2
248,FLUSHOT7,1
249,FLSHTMY3,6
255,PNEUVAC4,1
256,TETANUS1,1
257,HIVTST7,1
258,HIVTSTD3,6
264,HIVRISK5,1
265,COVIDPOS,1
266,COVIDSMP,1
267,COVIDPRM,2
269,PDIABTS1,1
270,PREDIAB2,1
271,DIABTYPE,1
272,INSULIN1,1
273,CHKHEMO3,2
275,EYEEXAM1,1
276,DIABEYE1,1
277,DIABEDU1,1
278,FEETSORE,1
279,TOLDCFS,1
280,HAVECFS,1
281,WORKCFS,1
282,IMFVPLA3,2
284,HPVADVC4,1
285,HPVADSHT,2
287,SHINGLE2,1
288,COVIDVA1,1
290,COVIDNU1,1
292,COVIDFS1,6
298,COVIDSE1,6
304,COPDCOGH,1
305,COPDFLEM,1
306,COPDBRTH,1
307,COPDBTST,1
308,COPDSMOK,2
310,CNCRDIFF,1
311,CNCRAGE,2
313,CNCRTYP2,2
315,CSRVTRT3,1
316,CSRVDOC1,2
318,CSRVSUM,1
319,CSRVRTRN,1
320,CSRVINST,1
321,CSRVINSR,1
322,CSRVDEIN,1
323,CSRVCLIN,1
324,CSRVPAIN,1
325,CSRVCTL2,1
326,PSATEST1,1
327,PSATIME1,1
328,PCPSARS2,1
329,PSASUGST,1
330,PCSTALK1,1
331,CIMEMLOS,1
332,CDHOUSE,1
333,CDASSIST,1
334,CDHELP,1
335,CDSOCIAL,1
336,CDDISCUS,1
337,CAREGIV1,1
338,CRGVREL4,2
340,CRGVLNG1,1
341,CRGVHRS1,1
342,CRGVPRB3,2
344,CRGVALZD,1
345,CRGVPER1,1
346,CRGVHOU1,1
347,CRGVEXPT,1
348,ACEDEPRS,1
349,ACEDRINK,1
350,ACEDRUGS,1
351,ACEPRISN,1
352,ACEDIVRC,1
353,ACEPUNCH,1
354,ACEHURT1,1
355,ACESWEAR,1
356,ACETOUCH,1
357,ACETTHEM,1
358,ACEHVSEX,1
359,ACEADSAF,1
360,ACEADNED,1
361,LSATISFY,1
362,EMTSUPRT,1
363,SDHISOLT,1
364,SDHEMPLY,1
365,FOODSTMP,1
366,SDHFOOD1,1
367,SDHBILLS,1
368,SDHUTILS,1
369,SDHTRNSP,1
370,SDHSTRE1,1
371,MARIJAN1,2
373,MARJSMOK,1
374,MARJEAT,1
375,MARJVAPE,1
376,MARJDAB,1
377,MARJOTHR,1
378,USEMRJN4,1
379,LASTSMK2,2
381,STOPSMK2,1
382,MENTCIGS,1
383,MENTECIG,1
384,HEATTBCO,1
385,ASBIALCH,1
386,ASBIDRNK,1
387,ASBIBING,1
388,ASBIADVC,1
389,ASBIRDUC,1
390,FIREARM5,1
391,GUNLOAD,1
392,LOADULK2,1
599,RCSGEND1,1
600,RCSXBRTH,1
635,RCSRLTN2,1
636,CASTHDX2,1
637,CASTHNO2,1
638,BIRTHSEX,1
639,SOMALE,1
640,SOFEMALE,1
641,TRNSGNDR,1
642,HADSEX,1
643,PFPPRVN4,1
644,TYPCNTR9,2
646,BRTHCNT4,2
648,WHEREGET,2
650,NOBCUSE8,2
652,BCPREFER,2
654,RRCLASS3,2
656,RRCOGNT2,1
657,RRTREAT,1
658,RRATWRK2,1
659,RRHCARE4,1
660,RRPHYSM2,1
665,QSTVER,2
667,QSTLANG,2
1402,_METSTAT,1
1403,_URBSTAT,1
1409,MSCODE,1
1410,_STSTR,6
1416,_STRWT,10
1446,_RAWRAKE,10
1456,_WT2RAKE,10
1471,_IMPRACE,2
1482,_CHISPNC,1
1539,_CRACE2,2
1541,_CPRACE2,2
1569,CAGEG,1
1585,_CLLCPWT,10
1682,_DUALUSE,1
1683,_DUALCOR,10
1693,_LLCPWT2,10
1751,_LLCPWT,10
1899,_RFHLTH,1
1900,_PHYS14D,1
1901,_MENT14D,1
1902,_HLTHPLN,1
1903,_HCVU652,1
1904,_TOTINDA,1
1905,_EXTETH3,1
1906,_ALTETH3,1
1907,_DENVST3,1
1908,_MICHD,1
1909,_LTASTH1,1
1910,_CASTHM1,1
1911,_ASTHMS1,1
1912,_DRDXAR2,1
1969,_PRACE2,2
1971,_MRACE2,2
1975,_HISPANC,1
1976,_RACE1,1
1977,_RACEG22,1
1978,_RACEGR4,1
1979,_RACEPR1,1
1980,_SEX,1
1981,_AGEG5YR,2
1983,_AGE65YR,1
1984,_AGE80,2
1986,_AGE_G,1
1987,HTIN4,3
1990,HTM4,3
1993,WTKG3,5
1998,_BMI5,4
2002,_BMI5CAT,1
2003,_RFBMI5,1
2004,_CHLDCNT,1
2005,_EDUCAG,1
2006,_INCOMG1,1
2007,_RFMAM22,1
2008,_MAM5023,1
2009,_HADCOLN,1
2010,_CLNSCP1,1
2011,_HADSIGM,1
2012,_SGMSCP1,1
2013,_SGMS101,1
2014,_RFBLDS5,1
2015,_STOLDN1,1
2016,_VIRCOL1,1
2017,_SBONTI1,1
2018,_CRCREC2,1
2019,_SMOKER3,1
2020,_RFSMOK3,1
2021,_CURECI2,1
2022,_YRSSMOK,3
2025,_PACKDAY,5
2030,_PACKYRS,4
2034,_YRSQUIT,2
2036,_SMOKGRP,1
2037,_LCSREC,1
2038,DRNKANY6,1
2039,DROCDY4_,3
2042,_RFBING6,1
2043,_DRNKWK2,5
2048,_RFDRHV8,1
2049,_FLSHOT7,1
2050,_PNEUMO3,1
2051,_AIDTST4,1
